ns1:name,new_geo
parking,"43.244377807575923,-88.3311493221738"
parking,"43.248016417263472,-88.325400874478262"
parking,"43.335024739089697,-88.283440143858201"
parking,"43.420493038955733,-88.213019998512394"
parking,"45.217829973723425,-90.587757121501383"
parking,"45.119575289630546,-90.70335974340081"
parking,"43.618624087427975,-88.196619191974392"
parking,"43.663294845144776,-88.136627498534764"
parking,"45.395150672162742,-92.650736502359607"
parking,"45.394296009061399,-92.649310721007268"
parking,"45.394530457020473,-92.656022721436841"
parking,"43.105679685251665,-88.346082043276965"
parking,"45.433894868997264,-89.424569199763042"
parking,"45.375790540177292,-89.29476829880798"
parking,"45.632705175951976,-92.467124077240527"
parking,"43.189453350495498,-89.63523012023127"
parking,"43.295919703414029,-89.536979590517959"
parking,"43.282358971391716,-89.547441044532746"
parking,"45.526830018019858,-92.501625300867346"
parking,"45.327324963833682,-89.100063889467492"
parking,"43.409888505309027,-89.636715727183343"
parking,"43.430696925560852,-89.710322455033932"
parking,"43.409788774102559,-89.724723115043929"
parking,"43.425685808393553,-89.726718119598431"
parking,"42.859247339359868,-89.502742161984699"
parking,"43.610008327169581,-89.430383497345474"
parking,"45.287656833490743,-89.79242038042733"
parking,"45.410322788532,-89.462674935627675"
parking,"45.571948340237626,-91.759578807337164"
parking,"45.609237122604782,-91.776746880834551"
parking,"45.615890398066711,-91.826255639678379"
parking,"45.174760704321223,-91.169419053492049"
parking,"43.750895637081456,-88.102103174950372"
parking,"45.294030391533582,-89.75423858413329"
parking,"45.376493554078692,-89.526355162633209"
parking,"45.318964869168099,-90.05903902070709"
parking,"44.479835284795847,-87.619699993393752"
parking,"44.501748697450985,-87.636407049656412"
parking,"44.463096387042469,-87.534422410198616"
parking,"42.709664798953938,-89.429773304042868"
parking,"43.061295346306139,-88.414703861372075"
parking,"45.668301219282185,-91.932093977612638"
parking,"45.602576460482254,-91.673280512876445"
parking,"45.216968476796133,-91.341287002855537"
parking,"42.716316560573809,-89.040877355477292"
parking,"45.27202080819221,-90.537025576110707"
parking,"45.299617457004004,-90.474120806102178"
parking,"45.15213005889796,-87.217417531527175"
parking,"43.566754770335159,-89.804525040242638"
parking,"43.598363362411398,-88.179951858959015"
parking,"43.661092492000883,-88.164245581651741"
parking,"43.668281179083365,-88.166715700364989"
parking,"45.0057015189292,-89.337702453837565"
parking,"45.002887892387534,-89.339749177806993"
parking,"44.909782810862488,-89.556771847871346"
parking,"44.89193408540234,-89.425865567944399"
parking,"44.887848700650558,-89.261703101186086"
parking,"43.004448617060639,-89.483940206417088"
parking,"45.575659678222678,-92.484808016575045"
parking,"45.401289897859833,-92.636224089138338"
parking,"45.597046071883213,-92.296910003957223"
parking,"43.189620339694201,-89.621261820612276"
parking,"43.000139900924808,-89.527290292184858"
parking,"42.993751262302006,-89.51405113483348"
parking,"42.870213249836901,-89.498643556096425"
parking,"42.845903509402092,-88.609728356372074"
parking,"43.776731082115482,-88.067846634043022"
parking,"43.796512626525299,-88.035133920172342"
parking,"43.543561770289202,-88.17546275395533"
parking,"43.484930222227639,-88.235336966951692"
parking,"42.681598363441033,-88.988041190900191"
parking,"42.678928268038312,-88.990899340878698"
parking,"42.677030654154663,-88.991012430387769"
parking,"42.676425602630786,-88.991891803271145"
parking,"42.961865274514913,-89.513643895654951"
parking,"45.296778898195832,-89.88919573291885"
parking,"45.344968507664134,-90.215285117964953"
parking,"42.843067484729445,-89.49926686483208"
parking,"45.313751604574236,-89.783809463715087"
parking,"45.300750143099847,-89.791679165439731"
parking,"45.400339489457984,-92.647484308345739"
parking,"45.396182179052765,-92.643932607827807"
parking,"45.404163046979285,-92.638657547262127"
